Size	ElapsedTime(in Msec)
10000	10
10100	10
10200	10
10300	10
10400	10
10500	10
10600	10
10700	10
10800	10
10900	11
11000	11
11100	11
11200	11
11300	11
11400	11
11500	11
10100	10
10201	10
10302	10
10403	10
10504	10
10605	10
10706	10
10807	10
10908	11
11009	11
11110	11
11211	11
11312	11
11413	11
11514	11
11615	11
10200	10
10302	10
10404	10
10506	10
10608	10
10710	10
10812	11
10914	11
11016	11
11118	11
11220	11
11322	11
11424	11
11526	11
11628	11
11730	12
10300	10
10403	10
10506	10
10609	10
10712	11
10815	11
10918	11
11021	11
11124	11
11227	11
11330	11
11433	11
11536	11
11639	12
11742	12
11845	12
10400	10
10504	10
10608	11
10712	11
10816	11
10920	11
11024	11
11128	11
11232	11
11336	11
11440	11
11544	12
11648	12
11752	12
11856	12
11960	12
10500	11
10605	11
10710	11
10815	11
10920	11
11025	11
11130	11
11235	11
11340	11
11445	12
11550	12
11655	12
11760	12
11865	12
11970	12
12075	12
10600	11
10706	11
10812	11
10918	11
11024	11
11130	11
11236	11
11342	12
11448	12
11554	12
11660	12
11766	12
11872	12
11978	12
12084	12
12190	13
10700	11
10807	11
10914	11
11021	11
11128	12
11235	12
11342	12
11449	12
11556	12
11663	12
11770	12
11877	12
11984	12
12091	13
12198	13
12305	13
10800	11
10908	11
11016	12
11124	12
11232	12
11340	12
11448	12
11556	12
11664	12
11772	12
11880	12
11988	13
12096	13
12204	13
12312	15
12420	13
10900	11
11009	12
11118	12
11227	12
11336	12
11445	12
11554	12
11663	12
11772	12
11881	13
11990	13
12099	13
12208	13
12317	13
12426	13
12535	13
11000	12
11110	12
11220	12
11330	12
11440	12
11550	12
11660	12
11770	13
11880	13
11990	13
12100	13
12210	13
12320	13
12430	13
12540	13
12650	13
11100	12
11211	12
11322	12
11433	12
11544	12
11655	13
11766	13
11877	13
11988	13
12099	13
12210	13
12321	13
12432	13
12543	13
12654	14
12765	14
11200	12
11312	12
11424	12
11536	12
11648	13
11760	13
11872	13
11984	13
12096	13
12208	13
12320	13
12432	13
12544	14
12656	14
12768	14
12880	14
11300	12
11413	13
11526	13
11639	13
11752	13
11865	13
11978	13
12091	13
12204	13
12317	14
12430	14
12543	14
12656	14
12769	14
12882	14
12995	14
11400	13
11514	13
11628	13
11742	13
11856	13
11970	13
12084	13
12198	14
12312	14
12426	14
12540	14
12654	14
12768	14
12882	14
12996	15
13110	15
11500	13
11615	13
11730	13
11845	13
11960	13
12075	14
12190	14
12305	14
12420	14
12535	14
12650	14
12765	14
12880	14
12995	15
13110	15
13225	15
