Size	ElapsedTime(in Msec)
10000	25
10100	24
10200	2
10300	3
10400	3
10500	4
10600	2
10700	3
10800	3
10900	3
11000	2
11100	2
11200	2
11300	2
11400	2
11500	3
10100	2
10201	2
10302	2
10403	2
10504	2
10605	2
10706	2
10807	3
10908	2
11009	2
11110	3
11211	3
11312	3
11413	3
11514	2
11615	2
10200	3
10302	2
10404	2
10506	2
10608	3
10710	2
10812	2
10914	3
11016	3
11118	3
11220	3
11322	3
11424	3
11526	2
11628	2
11730	3
10300	2
10403	3
10506	2
10609	3
10712	3
10815	2
10918	2
11021	2
11124	2
11227	2
11330	2
11433	2
11536	3
11639	3
11742	3
11845	3
10400	2
10504	3
10608	2
10712	3
10816	3
10920	3
11024	3
11128	2
11232	3
11336	3
11440	2
11544	2
11648	3
11752	3
11856	2
11960	3
10500	3
10605	2
10710	2
10815	2
10920	3
11025	3
11130	3
11235	3
11340	3
11445	3
11550	2
11655	3
11760	2
11865	3
11970	2
12075	3
10600	3
10706	2
10812	2
10918	2
11024	3
11130	3
11236	3
11342	3
11448	3
11554	2
11660	3
11766	3
11872	3
11978	3
12084	3
12190	3
10700	3
10807	3
10914	3
11021	3
11128	3
11235	3
11342	3
11449	2
11556	3
11663	3
11770	3
11877	3
11984	3
12091	3
12198	3
12305	3
10800	2
10908	2
11016	2
11124	2
11232	3
11340	3
11448	2
11556	3
11664	3
11772	3
11880	3
11988	3
12096	3
12204	3
12312	3
12420	3
10900	3
11009	3
11118	3
11227	3
11336	3
11445	3
11554	3
11663	3
11772	3
11881	3
11990	3
12099	2
12208	3
12317	3
12426	3
12535	3
11000	3
11110	3
11220	2
11330	3
11440	3
11550	2
11660	3
11770	2
11880	3
11990	3
12100	3
12210	3
12320	3
12430	3
12540	3
12650	3
11100	3
11211	3
11322	3
11433	3
11544	3
11655	3
11766	4
11877	3
11988	3
12099	4
12210	4
12321	3
12432	3
12543	3
12654	3
12765	4
11200	3
11312	3
11424	2
11536	3
11648	2
11760	3
11872	3
11984	3
12096	3
12208	3
12320	3
12432	3
12544	3
12656	3
12768	3
12880	3
11300	3
11413	2
11526	3
11639	3
11752	3
11865	3
11978	3
12091	3
12204	3
12317	3
12430	3
12543	3
12656	4
12769	3
12882	3
12995	3
11400	3
11514	3
11628	3
11742	3
11856	3
11970	3
12084	4
12198	3
12312	4
12426	4
12540	3
12654	3
12768	3
12882	3
12996	3
13110	3
11500	3
11615	3
11730	4
11845	3
11960	3
12075	3
12190	4
12305	4
12420	3
12535	3
12650	3
12765	3
12880	3
12995	3
13110	4
13225	3
